date,open,high,low,close,volume
2024-10-09,121.4375,121.5,120.53125,120.78125,397770
2024-10-10,120.75,120.9375,119.875,120.1875,578507
2024-10-11,120.65625,120.71875,119.71875,120.375,360146
2024-10-14,120.0,120.125,119.4375,119.78125,144128
2024-10-15,120.09375,121.21875,120.03125,121.0625,432661
2024-10-16,121.03125,121.71875,120.96875,121.34375,381387
2024-10-17,121.3125,121.375,119.9375,120.0,431225
2024-10-18,120.09375,120.5,119.5625,120.25,379656
2024-10-21,120.0625,120.1875,118.46875,118.6875,411276
2024-10-22,118.5625,118.96875,118.0625,118.46875,484935
2024-10-23,118.40625,118.46875,117.78125,118.03125,481960
2024-10-24,118.03125,119.03125,117.90625,118.75,496729
2024-10-25,118.625,119.15625,118.03125,118.28125,399365
2024-10-28,118.05999755859375,118.12000274658203,117.0,117.65625,470694
2024-10-29,117.9375,117.9375,117.875,117.6875,512686
2024-10-30,117.30000305175781,118.27999877929688,117.16000366210938,118.0625,628297
2024-10-31,117.59375,118.21875,117.1875,117.96875,838952
2024-11-01,118.0,118.78125,116.5,116.8125,730910
2024-11-04,117.28125,118.3125,117.28125,117.6875,479093
2024-11-05,118.03125,118.375,117.15625,118.15625,407773
2024-11-06,118.28125,118.65625,115.3125,116.25,1022368
2024-11-07,116.125,117.25,115.6875,117.09375,574318
2024-11-08,117.1875,118.34375,116.9375,117.84375,474348
2024-11-11,117.84375,117.90625,117.21875,117.65625,178871
2024-11-12,117.84375,118.15625,116.125,116.3125,564764
2024-11-13,116.34375,117.34375,115.6875,115.84375,615293
2024-11-14,115.96875,116.96875,115.46875,116.5625,595796
2024-11-15,116.375,116.65625,115.34375,116.3125,605809
2024-11-18,116.09375,116.625,115.28125,116.3125,463136
2024-11-19,116.28125,117.40625,116.25,116.90625,527957
2024-11-20,116.65625,116.90625,116.09375,116.5625,605400
2024-11-21,116.46875,116.90625,116.0,116.125,864071
2024-11-22,116.3125,116.84375,116.0625,116.28125,1017735
2024-11-25,117.03125,118.34375,116.84375,118.28125,1277984
2024-11-26,118.0625,118.25,117.5,117.875,657099
2024-11-27,117.90625,118.90625,117.8125,118.625,259383
2024-11-29,118.53125,119.34375,118.25,119.28125,22610
2024-12-02,119.21875,119.71875,118.71875,119.4375,16779
2024-12-03,119.34375,119.65625,118.71875,118.96875,2389
2024-12-04,118.75,119.65625,118.15625,119.5625,1037
2024-12-05,119.1875,119.65625,119.125,119.65625,1112
2024-12-06,119.9375,120.46875,119.6875,119.9375,5882
2024-12-09,120.125,120.125,119.15625,119.15625,121
2024-12-10,119.09375,119.09375,118.5625,118.84375,95
2024-12-11,118.625,118.75,118.0,118.0,36
2024-12-12,117.5625,117.5625,117.15625,117.15625,2435
2024-12-13,117.21875,117.28125,116.0625,116.15625,2509
2024-12-16,116.28125,116.59375,116.125,116.125,123
2024-12-17,116.3125,116.34375,116.28125,116.34375,107
2024-12-18,116.40625,116.40625,115.03125,115.03125,1790
2024-12-19,114.1875,114.1875,113.75,113.75,686071
2024-12-20,114.0625,115.03125,114.0,114.5,411294
2024-12-23,114.5,114.59375,113.5625,113.5625,252996
2024-12-24,113.75,113.9375,113.1875,113.875,173624
2024-12-26,113.78125,114.0625,113.09375,113.9375,184610
2024-12-27,113.8125,114.03125,113.0625,113.28125,236862
2024-12-30,113.1875,114.28125,113.0625,114.09375,254060
2024-12-31,114.28125,114.71875,113.59375,113.84375,327028
2025-01-02,113.75,114.59375,113.34375,113.75,338509
2025-01-03,114.03125,114.34375,113.4375,113.53125,260850
2025-01-06,113.46875,113.75,112.8125,113.125,437876
2025-01-07,112.96875,113.28125,111.96875,112.15625,510639
2025-01-08,112.15625,112.40625,111.4375,111.96875,590880
2025-01-09,111.9375,112.6875,111.9375,112.125,267830
2025-01-10,112.03125,112.21875,110.875,111.21875,595586
2025-01-13,111.34375,111.46875,110.78125,110.84375,386844
2025-01-14,111.15625,111.5,110.59375,110.90625,378968
2025-01-15,110.9375,112.9375,110.9375,112.53125,569655
2025-01-16,112.4375,113.28125,112.0625,113.0,510949
2025-01-17,112.875,113.625,112.8125,113.09375,394061
2025-01-21,112.90625,114.09375,112.5,113.65625,465106
2025-01-22,113.5,113.9375,113.1875,113.4375,390389
2025-01-23,113.25,113.5,112.53125,112.875,449194
2025-01-24,112.8125,113.28125,112.53125,113.1875,375840
2025-01-27,113.21875,114.78125,113.21875,114.375,567730
2025-01-28,114.28125,114.34375,113.71875,114.09375,327708
2025-01-29,114.25,114.6875,113.625,114.09375,434928
2025-01-30,114.375,115.03125,114.21875,114.65625,431239
2025-01-31,114.65625,114.84375,113.65625,113.90625,603118
2025-02-03,114.0,115.46875,113.875,114.375,746300
2025-02-04,114.0625,114.8125,113.5625,114.75,466848
2025-02-05,114.71875,116.40625,114.5,116.15625,614368
2025-02-06,116.21875,116.4375,115.75,116.09375,605103
2025-02-07,116.1875,117.03125,115.21875,115.53125,540799
2025-02-10,115.5,115.90625,115.21875,115.40625,338874
2025-02-11,115.375,115.5625,114.6875,114.78125,324641
2025-02-12,114.8125,115.1875,113.125,113.40625,603616
2025-02-13,113.5,115.09375,113.46875,115.0,613984
2025-02-14,114.84375,115.9375,114.59375,115.53125,391498
2025-02-18,115.46875,115.59375,114.40625,114.65625,490498
2025-02-19,114.5,114.78125,114.125,114.625,538580
2025-02-20,114.625,115.15625,114.5625,115.03125,550376
2025-02-21,114.875,116.3125,114.84375,116.09375,967447
